,Metadata_Stiffness,Condition,Metadata_Treatment,Mean_PXR,Mean_Vim,Mean_Ecad,Rank_PXR,Rank_Vim,Rank_Ecad,
235,25kPa,100C1,10 uM,0.117185053,0.068955939,0.045553225,,,,
332,25kPa,50C1_50G3,DMSO,0.166226337,0.105541329,0.100729159,76,145,46,
237,25kPa,100C4,10 uM,0.118660567,0.081562223,0.049663038,,,,
172,1kPa,75C1_25HA,DMSO,0.194433562,0.105391399,0.123397418,17,146,5,
239,25kPa,100DN,10 uM,0.122030537,0.06089873,0.050890707,,,,
432,25kPa,75G3_25FN,DMSO,0.147524752,0.105216352,0.089006469,161,147,90,
241,25kPa,100FN,10 uM,0.129747181,0.096594029,0.050019999,,,,
222,1kPa,75OPN_25FN,DMSO,0.19111207,0.105088679,0.108457622,23,148,22,
243,25kPa,100G3,10 uM,0.103565215,0.06749364,0.035145918,,,,
416,25kPa,75C4_25FN,DMSO,0.143060088,0.104994215,0.083461058,198,149,129,
245,25kPa,100HA,10 uM,0.130748737,0.121727095,0.045194105,,,,
60,1kPa,25HA_75G3,DMSO,0.172400772,0.104594697,0.10911407,51,150,18,
247,25kPa,100LN,10 uM,0.10957478,0.117534964,0.041040054,,,,
176,1kPa,75C1_25OPN,DMSO,0.18220556,0.104029417,0.107263092,35,152,24,
249,25kPa,100OPN,10 uM,0.113184231,0.056256372,0.042183796,,,,
464,25kPa,75TC_25G3,DMSO,0.151616512,0.103948974,0.069129768,135,153,196,
251,25kPa,100TC,10 uM,0.117810178,0.062175454,0.052922895,,,,
310,25kPa,25OPN_75DN,DMSO,0.12093149,0.103914056,0.054253886,355,154,291,
253,25kPa,25C1_75C4,10 uM,0.119632317,0.081117607,0.053028894,,,,
426,25kPa,75C4_25TC,DMSO,0.140551947,0.103671603,0.076288801,220,155,170,
255,25kPa,25C1_75DN,10 uM,0.129418504,0.066955045,0.053651411,,,,
114,1kPa,50C4_50HA,DMSO,0.152366941,0.103651306,0.08409253,133,156,123,
257,25kPa,25C1_75FN,10 uM,0.116677085,0.068540492,0.065625227,,,,
230,1kPa,75TC_25G3,DMSO,0.208603033,0.1032499,0.106342474,5,159,26,
259,25kPa,25C1_75G3,10 uM,0.141981321,0.092173929,0.063685687,,,,
228,1kPa,75TC_25FN,DMSO,0.168941444,0.103206617,0.080296729,64,160,149,
261,25kPa,25C1_75HA,10 uM,0.129940929,0.063935048,0.055503289,,,,
412,25kPa,75C1_25TC,DMSO,0.155209921,0.103110386,0.088472758,113,161,93,
263,25kPa,25C1_75LN,10 uM,0.126102205,0.065642106,0.058262638,,,,
4,1kPa,100C4,DMSO,0.16259911,0.10299224,0.087858651,90,163,99,
265,25kPa,25C1_75OPN,10 uM,0.113722048,0.057472283,0.043025806,,,,
30,1kPa,25C1_75LN,DMSO,0.189776536,0.102881496,0.108936643,26,164,19,
267,25kPa,25C1_75TC,10 uM,0.127131964,0.074511808,0.048651123,,,,
428,25kPa,75DN_25FN,DMSO,0.124164777,0.102624737,0.062216098,333,165,230,
269,25kPa,25C4_75DN,10 uM,0.103675687,0.052584481,0.041119447,,,,
16,1kPa,100OPN,DMSO,0.18621671,0.102401535,0.114925826,28,167,12,
271,25kPa,25C4_75FN,10 uM,0.124328072,0.061824527,0.060679783,,,,
2,1kPa,100C1,DMSO,0.152832171,0.102357436,0.092782875,130,168,76,
273,25kPa,25C4_75G3,10 uM,0.121055469,0.061771527,0.0544608,,,,
324,25kPa,25TC_75OPN,DMSO,0.147400025,0.102355963,0.064057693,164,169,221,
275,25kPa,25C4_75HA,10 uM,0.130819795,0.077486804,0.05626354,,,,
406,25kPa,75C1_25HA,DMSO,0.15513386,0.102222683,0.089100116,114,171,89,
277,25kPa,25C4_75LN,10 uM,0.125290252,0.065133397,0.051143334,,,,
154,1kPa,50TC_50DN,DMSO,0.120337514,0.101822349,0.058253532,357,172,259,
279,25kPa,25C4_75OPN,10 uM,0.119609014,0.064484296,0.056705467,,,,
132,1kPa,50HA_50G3,DMSO,0.158131037,0.101608803,0.084076729,105,173,124,
281,25kPa,25C4_75TC,10 uM,0.114889056,0.060420737,0.048016954,,,,
50,1kPa,25DN_75FN,DMSO,0.170820207,0.10133946,0.089406702,56,175,86,
283,25kPa,25DN_75FN,10 uM,0.11615659,0.058927024,0.060320673,,,,
28,1kPa,25C1_75HA,DMSO,0.190115751,0.101296344,0.108814735,25,176,20,
285,25kPa,25DN_75G3,10 uM,0.107399678,0.066680449,0.034254133,,,,
66,1kPa,25LN_75FN,DMSO,0.172666287,0.101132858,0.093618545,48,178,72,
287,25kPa,25G3_75FN,10 uM,0.137704173,0.087953889,0.054121462,,,,
90,1kPa,25TC_75OPN,DMSO,0.140948062,0.101131175,0.090846008,215,179,81,
289,25kPa,25HA_75DN,10 uM,0.091532088,0.061284082,0.034538405,,,,
276,25kPa,25C4_75HA,DMSO,0.133052787,0.10110739,0.065373467,265,180,216,
291,25kPa,25HA_75FN,10 uM,0.116129737,0.083405124,0.045200692,,,,
54,1kPa,25G3_75FN,DMSO,0.148756461,0.100425044,0.082381602,151,181,136,
293,25kPa,25HA_75G3,10 uM,0.126429051,0.083392955,0.053974944,,,,
92,1kPa,50C1_50C4,DMSO,0.180046266,0.100303917,0.105322347,36,182,29,
295,25kPa,25HA_75OPN,10 uM,0.107197879,0.060925925,0.039904143,,,,
76,1kPa,25OPN_75DN,DMSO,0.161325477,0.100265023,0.092181724,96,184,77,
297,25kPa,25LN_75DN,10 uM,0.117711941,0.110508832,0.050910819,,,,
342,25kPa,50C4_50DN,DMSO,0.147452307,0.100085369,0.073898034,163,187,182,
299,25kPa,25LN_75FN,10 uM,0.119808038,0.082024652,0.045169205,,,,
178,1kPa,75C1_25TC,DMSO,0.176211759,0.100054663,0.109679587,43,188,17,
301,25kPa,25LN_75G3,10 uM,0.112420981,0.087290965,0.043150456,,,,
250,25kPa,100OPN,DMSO,0.129480824,0.10001572,0.075151907,294,189,175,
303,25kPa,25LN_75HA,10 uM,0.120751542,0.070059242,0.050422456,,,,
80,1kPa,25OPN_75G3,DMSO,0.134790796,0.099695661,0.087872425,247,190,98,
305,25kPa,25LN_75OPN,10 uM,0.121713905,0.063716422,0.044756292,,,,
226,1kPa,75TC_25DN,DMSO,0.149160064,0.099600597,0.082387668,145,191,135,
307,25kPa,25LN_75TC,10 uM,0.100685241,0.054205617,0.038016842,,,,
316,25kPa,25TC_75DN,DMSO,0.118902029,0.099368758,0.063446155,370,193,227,
309,25kPa,25OPN_75DN,10 uM,0.124656741,0.065382425,0.043649496,,,,
82,1kPa,25TC_75DN,DMSO,0.165406502,0.099279827,0.092932707,78,194,75,
311,25kPa,25OPN_75FN,10 uM,0.103211926,0.060235291,0.035202178,,,,
84,1kPa,25TC_75FN,DMSO,0.155413354,0.099031817,0.082781034,111,195,134,
313,25kPa,25OPN_75G3,10 uM,0.110566321,0.061527679,0.050003404,,,,
52,1kPa,25DN_75G3,DMSO,0.165109351,0.098916783,0.099126244,81,196,50,
315,25kPa,25TC_75DN,10 uM,0.120215443,0.060559053,0.05537404,,,,
138,1kPa,50LN_50FN,DMSO,0.168719209,0.098614724,0.1015253,65,197,40,
317,25kPa,25TC_75FN,10 uM,0.105670453,0.059945314,0.044057636,,,,
346,25kPa,50C4_50G3,DMSO,0.145656235,0.098520255,0.083720993,180,198,126,
319,25kPa,25TC_75G3,10 uM,0.116848055,0.101296056,0.024036892,,,,
286,25kPa,25DN_75G3,DMSO,0.112346323,0.098488082,0.060527658,419,199,242,
321,25kPa,25TC_75HA,10 uM,0.11231949,0.067782843,0.047208986,,,,
408,25kPa,75C1_25LN,DMSO,0.154848926,0.098434505,0.103013331,121,200,33,
323,25kPa,25TC_75OPN,10 uM,0.11409173,0.048782005,0.038813952,,,,
218,1kPa,75LN_25TC,DMSO,0.147337897,0.098379307,0.081812239,166,201,142,
325,25kPa,50C1_50C4,10 uM,0.126719402,0.076018158,0.051977696,,,,
308,25kPa,25LN_75TC,DMSO,0.13561245,0.098284378,0.063702497,242,202,225,
327,25kPa,50C1_50DN,10 uM,0.130290637,0.066130235,0.047146994,,,,
186,1kPa,75C4_25HA,DMSO,0.166371754,0.098265927,0.094062066,74,203,68,
329,25kPa,50C1_50FN,10 uM,0.126343731,0.064422148,0.057588358,,,,
70,1kPa,25LN_75HA,DMSO,0.171793966,0.098242839,0.100052995,52,204,48,
331,25kPa,50C1_50G3,10 uM,0.122417102,0.061535196,0.050675378,,,,
468,25kPa,75TC_25OPN,DMSO,0.121612611,0.098182639,0.065564424,352,205,214,
333,25kPa,50C1_50HA,10 uM,0.107979748,0.058922357,0.042520016,,,,
156,1kPa,50TC_50FN,DMSO,0.17763563,0.097909875,0.100669222,40,207,47,
335,25kPa,50C1_50LN,10 uM,0.134707605,0.065793064,0.047351605,,,,
424,25kPa,75C4_25OPN,DMSO,0.126107562,0.097891161,0.074472757,317,208,178,
337,25kPa,50C1_50OPN,10 uM,0.115966739,0.071662548,0.054900709,,,,
278,25kPa,25C4_75LN,DMSO,0.140633478,0.097877886,0.076412542,218,209,169,
339,25kPa,50C1_50TC,10 uM,0.115593405,0.061598225,0.049056036,,,,
42,1kPa,25C4_75HA,DMSO,0.155415054,0.097802261,0.099987579,110,210,49,
341,25kPa,50C4_50DN,10 uM,0.111793781,0.0642506,0.041361322,,,,
48,1kPa,25C4_75TC,DMSO,0.212431466,0.097578371,0.122884,2,212,6,
343,25kPa,50C4_50FN,10 uM,0.099707141,0.05654488,0.046670135,,,,
40,1kPa,25C4_75G3,DMSO,0.193352733,0.096888403,0.113857817,19,215,13,
345,25kPa,50C4_50G3,10 uM,0.115838657,0.060972564,0.050988082,,,,
106,1kPa,50C1_50TC,DMSO,0.172484507,0.096756929,0.098195462,50,216,52,
347,25kPa,50C4_50HA,10 uM,0.119712482,0.077128066,0.04387557,,,,
144,1kPa,50LN_50OPN,DMSO,0.16007569,0.096701633,0.087792494,100,217,101,
349,25kPa,50C4_50LN,10 uM,0.113680309,0.065321918,0.051174385,,,,
98,1kPa,50C1_50G3,DMSO,0.166519571,0.096431964,0.09506946,73,220,63,
351,25kPa,50C4_50OPN,10 uM,0.120291343,0.073822504,0.050557588,,,,
46,1kPa,25C4_75OPN,DMSO,0.167129166,0.096304545,0.094534486,70,222,65,
353,25kPa,50C4_50TC,10 uM,0.121806686,0.061190725,0.051880601,,,,
168,1kPa,75C1_25FN,DMSO,0.148685543,0.096121336,0.086607656,152,225,111,
355,25kPa,50DN_50FN,10 uM,0.131512677,0.073334343,0.051275902,,,,
122,1kPa,50DN_50FN,DMSO,0.133789286,0.096089521,0.087176298,254,226,106,
357,25kPa,50DN_50G3,10 uM,0.11800314,0.082535167,0.04388485,,,,
336,25kPa,50C1_50LN,DMSO,0.146579844,0.095989583,0.087025963,173,228,108,
359,25kPa,50G3_50FN,10 uM,0.108138163,0.052968662,0.040939773,,,,
216,1kPa,75LN_25OPN,DMSO,0.133170759,0.095941508,0.074466341,263,229,179,
361,25kPa,50HA_50DN,10 uM,0.100279589,0.058630846,0.03918032,,,,
282,25kPa,25C4_75TC,DMSO,0.144028014,0.095723697,0.087695323,189,231,103,
363,25kPa,50HA_50FN,10 uM,0.112948091,0.063198383,0.044775089,,,,
344,25kPa,50C4_50FN,DMSO,0.134242045,0.095401768,0.076512977,253,234,167,
365,25kPa,50HA_50G3,10 uM,0.105461947,0.066547912,0.042939776,,,,
198,1kPa,75G3_25FN,DMSO,0.163103388,0.095182091,0.093720874,86,235,71,
367,25kPa,50HA_50OPN,10 uM,0.129921358,0.078169415,0.039141191,,,,
142,1kPa,50LN_50HA,DMSO,0.126499127,0.0951686,0.068430383,314,236,199,
369,25kPa,50LN_50DN,10 uM,0.118527241,0.067472464,0.043149003,,,,
362,25kPa,50HA_50DN,DMSO,0.142181276,0.094223223,0.079244551,205,239,151,
371,25kPa,50LN_50FN,10 uM,0.119301873,0.06650943,0.047186186,,,,
284,25kPa,25DN_75FN,DMSO,0.124254482,0.0941083,0.072537365,332,240,186,
373,25kPa,50LN_50G3,10 uM,0.12807943,0.106965277,0.047154036,,,,
350,25kPa,50C4_50LN,DMSO,0.143730265,0.094015367,0.085385753,191,241,116,
375,25kPa,50LN_50HA,10 uM,0.109863925,0.073838254,0.035908844,,,,
210,1kPa,75LN_25FN,DMSO,0.167395688,0.093929093,0.097036287,69,242,55,
377,25kPa,50LN_50OPN,10 uM,0.118524453,0.066805323,0.051563683,,,,
124,1kPa,50DN_50G3,DMSO,0.144092734,0.093623685,0.083210061,188,244,131,
379,25kPa,50LN_50TC,10 uM,0.1346185,0.067461206,0.051949313,,,,
44,1kPa,25C4_75LN,DMSO,0.15196699,0.09346872,0.086227722,134,246,113,
381,25kPa,50OPN_50DN,10 uM,0.107559435,0.065131278,0.043850655,,,,
146,1kPa,50LN_50TC,DMSO,0.141172093,0.093296742,0.082194456,213,247,138,
383,25kPa,50OPN_50FN,10 uM,0.118126977,0.071812322,0.04370549,,,,
130,1kPa,50HA_50FN,DMSO,0.131250909,0.092387852,0.075535655,277,250,172,
385,25kPa,50OPN_50G3,10 uM,0.118439463,0.087015341,0.04543096,,,,
96,1kPa,50C1_50FN,DMSO,0.171762597,0.092259585,0.10136681,53,253,41,
387,25kPa,50TC_50DN,10 uM,0.10405849,0.077118774,0.034005668,,,,
234,1kPa,75TC_25OPN,DMSO,0.142698196,0.091688413,0.085987285,201,255,114,
389,25kPa,50TC_50FN,10 uM,0.116114228,0.076055601,0.041032236,,,,
414,25kPa,75C4_25DN,DMSO,0.139010205,0.09154641,0.084219505,228,258,121,
391,25kPa,50TC_50G3,10 uM,0.114931675,0.068925153,0.046218378,,,,
354,25kPa,50C4_50TC,DMSO,0.144621781,0.090880138,0.083680318,184,260,127,
393,25kPa,50TC_50HA,10 uM,0.127971508,0.103004058,0.049816132,,,,
94,1kPa,50C1_50DN,DMSO,0.14273213,0.090476279,0.082280717,200,261,137,
395,25kPa,50TC_50OPN,10 uM,0.108791509,0.092673619,0.0392565,,,,
74,1kPa,25LN_75TC,DMSO,0.134405126,0.090325636,0.065997148,251,262,212,
397,25kPa,75C1_25C4,10 uM,0.11213611,0.058728689,0.037493496,,,,
116,1kPa,50C4_50LN,DMSO,0.183276296,0.090057742,0.112554095,33,263,15,
399,25kPa,75C1_25DN,10 uM,0.132115762,0.07865351,0.055777727,,,,
56,1kPa,25HA_75DN,DMSO,0.141749763,0.089916728,0.080301938,211,264,148,
401,25kPa,75C1_25FN,10 uM,0.115128397,0.061983226,0.039512937,,,,
182,1kPa,75C4_25FN,DMSO,0.167498706,0.089666296,0.11096695,68,267,16,
403,25kPa,75C1_25G3,10 uM,0.099064671,0.062978273,0.041138647,,,,
158,1kPa,50TC_50G3,DMSO,0.151130061,0.08952944,0.089170077,138,270,88,
405,25kPa,75C1_25HA,10 uM,0.109805827,0.060078907,0.053129991,,,,
272,25kPa,25C4_75FN,DMSO,0.135779696,0.089503114,0.087789813,240,271,102,
407,25kPa,75C1_25LN,10 uM,0.115479941,0.059580763,0.050100949,,,,
100,1kPa,50C1_50HA,DMSO,0.162373976,0.089279908,0.1339765,91,273,1,
409,25kPa,75C1_25OPN,10 uM,0.147022218,0.080669507,0.049164827,,,,
110,1kPa,50C4_50FN,DMSO,0.152576932,0.089172588,0.095270011,131,274,62,
411,25kPa,75C1_25TC,10 uM,0.118152571,0.06157782,0.050752842,,,,
418,25kPa,75C4_25G3,DMSO,0.097598536,0.08846321,0.058322173,462,278,256,
413,25kPa,75C4_25DN,10 uM,0.102295784,0.049883798,0.03840487,,,,
78,1kPa,25OPN_75FN,DMSO,0.146265385,0.088168992,0.071366933,175,280,188,
415,25kPa,75C4_25FN,10 uM,0.112946662,0.06468647,0.048931729,,,,
194,1kPa,75DN_25FN,DMSO,0.134463213,0.088148752,0.073161244,250,281,185,
417,25kPa,75C4_25G3,10 uM,0.093685368,0.053626158,0.038496897,,,,
202,1kPa,75HA_25FN,DMSO,0.147123825,0.088072843,0.074333687,169,282,181,
419,25kPa,75C4_25HA,10 uM,0.123360274,0.070869504,0.050918591,,,,
196,1kPa,75DN_25G3,DMSO,0.128627808,0.087613081,0.060271917,300,284,244,
421,25kPa,75C4_25LN,10 uM,0.117037343,0.058419881,0.04961351,,,,
128,1kPa,50HA_50DN,DMSO,0.129088006,0.087459381,0.063738945,298,285,224,
423,25kPa,75C4_25OPN,10 uM,0.111340524,0.059647366,0.045971961,,,,
422,25kPa,75C4_25LN,DMSO,0.114200277,0.086619307,0.066289274,405,290,210,
425,25kPa,75C4_25TC,10 uM,0.117230001,0.06141247,0.050013882,,,,
8,1kPa,100FN,DMSO,0.119216671,0.086428997,0.052475672,368,291,301,
427,25kPa,75DN_25FN,10 uM,0.10265805,0.057977887,0.042448675,,,,
192,1kPa,75C4_25TC,DMSO,0.169505979,0.085969195,0.102319008,61,295,37,
429,25kPa,75DN_25G3,10 uM,0.109364368,0.061807764,0.035410218,,,,
20,1kPa,25C1_75C4,DMSO,0.127327466,0.085922219,0.066358117,307,296,209,
431,25kPa,75G3_25FN,10 uM,0.114181188,0.078821131,0.046731333,,,,
120,1kPa,50C4_50TC,DMSO,0.175238673,0.085741479,0.103350151,44,298,32,
433,25kPa,75HA_25DN,10 uM,0.117141383,0.063951005,0.040983236,,,,
6,1kPa,100DN,DMSO,0.118711722,0.085572049,0.059310909,371,299,251,
435,25kPa,75HA_25FN,10 uM,0.116979564,0.067126587,0.046486429,,,,
108,1kPa,50C4_50DN,DMSO,0.176677774,0.085554995,0.095680683,41,300,60,
437,25kPa,75HA_25G3,10 uM,0.087987597,0.065724523,0.028460676,,,,
38,1kPa,25C4_75FN,DMSO,0.148502898,0.085160171,0.076487268,153,303,168,
439,25kPa,75HA_25OPN,10 uM,0.117105154,0.062702826,0.059851137,,,,
36,1kPa,25C4_75DN,DMSO,0.161083777,0.084843178,0.094026486,99,305,69,
441,25kPa,75LN_25DN,10 uM,0.12575824,0.128039934,0.048599854,,,,
148,1kPa,50OPN_50DN,DMSO,0.102083867,0.084150368,0.051992905,456,306,304,
443,25kPa,75LN_25FN,10 uM,0.11293352,0.064476147,0.044594854,,,,
174,1kPa,75C1_25LN,DMSO,0.154716264,0.083450862,0.102464627,122,309,36,
445,25kPa,75LN_25G3,10 uM,0.12787731,0.074912638,0.051361107,,,,
190,1kPa,75C4_25OPN,DMSO,0.154600231,0.083268846,0.088925324,126,312,91,
447,25kPa,75LN_25HA,10 uM,0.122246076,0.075851506,0.049717576,,,,
18,1kPa,100TC,DMSO,0.135521988,0.082582697,0.06799349,243,315,201,
449,25kPa,75LN_25OPN,10 uM,0.139791054,0.085367274,0.061316382,,,,
112,1kPa,50C4_50G3,DMSO,0.140590071,0.082361105,0.087543991,219,317,104,
451,25kPa,75LN_25TC,10 uM,0.121244401,0.065124231,0.05003841,,,,
270,25kPa,25C4_75DN,DMSO,0.108396768,0.08196097,0.060755753,435,322,238,
453,25kPa,75OPN_25DN,10 uM,0.113763249,0.092369847,0.039225752,,,,
184,1kPa,75C4_25G3,DMSO,0.134865773,0.081887103,0.083887058,246,323,125,
455,25kPa,75OPN_25FN,10 uM,0.114976916,0.074958188,0.042750782,,,,
126,1kPa,50G3_50FN,DMSO,0.142000422,0.08184286,0.069930656,208,324,194,
457,25kPa,75OPN_25G3,10 uM,0.112753621,0.07008869,0.049830711,,,,
62,1kPa,25HA_75OPN,DMSO,0.154666672,0.081542483,0.075292088,124,327,173,
459,25kPa,75TC_25DN,10 uM,0.123417688,0.063492612,0.048344377,,,,
102,1kPa,50C1_50LN,DMSO,0.147072184,0.080729289,0.091221423,170,331,79,
461,25kPa,75TC_25FN,10 uM,0.132186835,0.096250103,0.051069227,,,,
188,1kPa,75C4_25LN,DMSO,0.155339846,0.078217037,0.095860041,112,345,57,
463,25kPa,75TC_25G3,10 uM,0.14778504,0.075161278,0.050191701,,,,
164,1kPa,75C1_25C4,DMSO,0.148865152,0.078137397,0.070677512,149,347,191,
465,25kPa,75TC_25HA,10 uM,0.122243972,0.078720248,0.052474197,,,,
180,1kPa,75C4_25DN,DMSO,0.1424889,0.077114571,0.090724966,202,356,82,
467,25kPa,75TC_25OPN,10 uM,0.099294416,0.057445359,0.035878993,,,,
398,25kPa,75C1_25C4,DMSO,0.135648896,0.070957944,0.081830458,241,383,141,
