,Metadata_Stiffness,ConditionStiff,Mean_Red_Norm,Mean_Orange_Norm,Rank_Red,Rank_Orange,Difference in Rank
190,25kPa,LN100_25kPa,0.061872686,0.192274139,113,1,112
212,25kPa,OPNDN75/25_25kPa,0.056572766,0.162132834,116,5,111
15,1kPa,C1HA50/50_1kPa,0.136951134,0.084034402,1,106,105
54,1kPa,DNG375/25_1kPa,0.072075835,0.144213331,106,9,97
198,25kPa,LNG350/50_25kPa,0.062977832,0.139663756,111,19,92
186,25kPa,HAG375/25_25kPa,0.067134088,0.152042049,98,10,88
162,25kPa,C4TC25/75_25kPa,0.089076348,0.083969073,26,109,83
113,1kPa,TCHA50/50_1kPa,0.088688836,0.163050792,78,4,74
233,25kPa,TCOPN50/50_25kPa,0.065523877,0.127064299,103,29,74
135,25kPa,C1LN50/50_25kPa,0.086426834,0.08412028,35,108,73
131,25kPa,C1HA25/75_25kPa,0.086669493,0.086942382,33,104,71
19,1kPa,C1LN75/25_1kPa,0.105346259,0.092069888,26,95,69
230,25kPa,TCHA50/50_25kPa,0.072603289,0.150019544,80,11,69
69,1kPa,HAG375/25_1kPa,0.085298273,0.13405766,83,17,66
221,25kPa,TCDN50/50_25kPa,0.074948607,0.159833253,73,7,66
116,1kPa,TCOPN50/50_1kPa,0.089273799,0.140157746,76,11,65
22,1kPa,C1OPN75/25_1kPa,0.079513044,0.123515036,94,32,62
45,1kPa,C4TC25/75_1kPa,0.115992944,0.108983889,6,67,61
49,1kPa,DNFN25/75_1kPa,0.079042193,0.120829534,96,35,61
126,25kPa,C1FN50/50_25kPa,0.093119561,0.100613688,14,74,60
146,25kPa,C4DN75/25_25kPa,0.0863766,0.090265956,37,97,60
81,1kPa,LNG350/50_1kPa,0.076418501,0.119322331,100,41,59
104,1kPa,TCDN50/50_1kPa,0.077460583,0.119727063,98,39,59
33,1kPa,C4G325/75_1kPa,0.113868189,0.109257423,9,66,57
46,1kPa,C4TC50/50_1kPa,0.111649004,0.108184802,12,68,56
41,1kPa,C4LN75/25_1kPa,0.096802825,0.080026583,55,110,55
121,25kPa,C1C475/25_25kPa,0.083018039,0.08797075,48,103,55
129,25kPa,C1G350/50_25kPa,0.09037583,0.099287147,23,78,55
122,25kPa,C1DN25/75_25kPa,0.099341295,0.105998459,5,59,54
187,25kPa,HAOPN25/75_25kPa,0.071311417,0.121594421,88,34,54
28,1kPa,C4DN50/50_1kPa,0.091504997,0.134186965,69,16,53
9,1kPa,C1FN50/50_1kPa,0.1077454,0.106141079,21,73,52
136,25kPa,C1LN75/25_25kPa,0.08665575,0.096053362,34,85,51
14,1kPa,C1HA25/75_1kPa,0.10482459,0.104667324,27,77,50
202,25kPa,LNHA75/25_25kPa,0.076652267,0.144722745,65,15,50
92,1kPa,OPN100_1kPa,0.115725845,0.113616068,7,56,49
203,25kPa,LNOPN25/75_25kPa,0.081383339,0.090189828,50,98,48
227,25kPa,TCG350/50_25kPa,0.085112888,0.093347357,40,88,48
26,1kPa,C4100_1kPa,0.096956835,0.147536118,54,7,47
78,1kPa,LNFN50/50_1kPa,0.102474281,0.104350066,32,78,46
134,25kPa,C1LN25/75_25kPa,0.097208611,0.107039568,8,54,46
171,25kPa,DNG375/25_25kPa,0.078620133,0.146792471,59,13,46
5,1kPa,C1DN25/75_1kPa,0.112579577,0.113700187,10,55,45
31,1kPa,C4FN50/50_1kPa,0.101650407,0.103948571,34,79,45
109,1kPa,TCG325/75_1kPa,0.062893744,0.106835846,116,71,45
159,25kPa,C4OPN25/75_25kPa,0.079790909,0.089767118,55,100,45
229,25kPa,TCHA25/75_25kPa,0.067815059,0.109698187,95,50,45
27,1kPa,C4DN25/75_1kPa,0.091706753,0.078596775,67,111,44
189,25kPa,HAOPN75/25_25kPa,0.073220305,0.121677972,77,33,44
11,1kPa,C1G325/75_1kPa,0.090444977,0.124138811,72,29,43
43,1kPa,C4OPN50/50_1kPa,0.118117615,0.117042946,3,46,43
97,1kPa,OPNFN50/50_1kPa,0.083835397,0.118954056,86,43,43
119,25kPa,C1C425/75_25kPa,0.06341678,0.10346573,107,64,43
163,25kPa,C4TC50/50_25kPa,0.081025405,0.090846738,52,95,43
196,25kPa,LNFN75/25_25kPa,0.090975499,0.103767298,20,63,43
226,25kPa,TCG325/75_25kPa,0.06747508,0.107271989,96,53,43
123,25kPa,C1DN50/50_25kPa,0.092633305,0.10658005,15,57,42
150,25kPa,C4G325/75_25kPa,0.086045159,0.097914503,39,81,42
197,25kPa,LNG325/75_25kPa,0.083428932,0.165424266,46,4,42
215,25kPa,OPNFN75/25_25kPa,0.07204932,0.111909422,86,44,42
29,1kPa,C4DN75/25_1kPa,0.098742265,0.096498186,45,86,41
73,1kPa,LN100_1kPa,0.098506954,0.151516821,47,6,41
177,25kPa,HA100_25kPa,0.076084567,0.131418979,67,26,41
174,25kPa,G3FN25/75_25kPa,0.072199368,0.111610963,85,45,40
17,1kPa,C1LN25/75_1kPa,0.101051778,0.104859947,37,76,39
107,1kPa,TCFN50/50_1kPa,0.099594533,0.103523379,42,81,39
137,25kPa,C1OPN25/75_25kPa,0.077491292,0.0884559,63,102,39
141,25kPa,C1TC50/50_25kPa,0.096432243,0.110274707,9,48,39
169,25kPa,DNG325/75_25kPa,0.075314666,0.080352535,72,111,39
47,1kPa,C4TC75/25_1kPa,0.105418854,0.110450754,25,63,38
52,1kPa,DNG325/75_1kPa,0.09441489,0.090347681,60,98,38
154,25kPa,C4HA50/50_25kPa,0.075431568,0.121975192,70,32,38
60,1kPa,HA100_1kPa,0.078700425,0.112188813,97,60,37
70,1kPa,HAOPN25/75_1kPa,0.077304388,0.110472861,99,62,37
139,25kPa,C1OPN75/25_25kPa,0.08068506,0.143194938,54,17,37
142,25kPa,C1TC75/25_25kPa,0.090811677,0.106061297,21,58,37
64,1kPa,HAFN25/75_1kPa,0.098504918,0.139185158,48,12,36
133,25kPa,C1HA75/25_25kPa,0.084429987,0.099772431,41,77,36
178,25kPa,HADN25/75_25kPa,0.057514799,0.098927266,115,79,36
67,1kPa,HAG325/75_1kPa,0.111216466,0.116628262,13,48,35
93,1kPa,OPNDN25/75_1kPa,0.090112056,0.120180317,73,38,35
205,25kPa,LNOPN75/25_25kPa,0.125134432,0.120819284,1,36,35
75,1kPa,LNDN50/50_1kPa,0.086447499,0.117033447,81,47,34
85,1kPa,LNHA75/25_1kPa,0.098316675,0.135895146,49,15,34
110,1kPa,TCG350/50_1kPa,0.093981641,0.093143382,61,94,33
223,25kPa,TCFN25/75_25kPa,0.069366579,0.105434908,93,60,33
74,1kPa,LNDN25/75_1kPa,0.101795655,0.175100462,33,1,32
106,1kPa,TCFN25/75_1kPa,0.09465264,0.125825996,59,27,32
147,25kPa,C4FN25/75_25kPa,0.078969485,0.093312138,57,89,32
151,25kPa,C4G350/50_25kPa,0.081348356,0.097502061,51,83,32
185,25kPa,HAG350/50_25kPa,0.068596803,0.104731218,94,62,32
6,1kPa,C1DN50/50_1kPa,0.088727159,0.082351611,77,108,31
105,1kPa,TCDN75/25_1kPa,0.099452835,0.105772028,43,74,31
184,25kPa,HAG325/75_25kPa,0.075659985,0.120250917,69,38,31
37,1kPa,C4HA50/50_1kPa,0.091799202,0.120381086,66,36,30
194,25kPa,LNFN25/75_25kPa,0.073473721,0.111198808,76,46,30
42,1kPa,C4OPN25/75_1kPa,0.096773302,0.096524387,56,85,29
192,25kPa,LNDN50/50_25kPa,0.091749391,0.110590383,18,47,29
83,1kPa,LNHA25/75_1kPa,0.102666968,0.112198603,31,59,28
111,1kPa,TCG375/25_1kPa,0.107407405,0.116003915,22,50,28
62,1kPa,HADN50/50_1kPa,0.069276886,0.101165412,109,82,27
170,25kPa,DNG350/50_25kPa,0.072735055,0.107814854,79,52,27
180,25kPa,HADN75/25_25kPa,0.078719551,0.125958029,58,31,27
183,25kPa,HAFN75/25_25kPa,0.083500018,0.101209184,45,72,27
18,1kPa,C1LN50/50_1kPa,0.082074794,0.070806845,90,116,26
30,1kPa,C4FN25/75_1kPa,0.082099729,0.074369669,89,115,26
91,1kPa,LNTC75/25_1kPa,0.0906792,0.117297559,71,45,26
130,25kPa,C1G375/25_25kPa,0.072550961,0.106940426,81,55,26
157,25kPa,C4LN50/50_25kPa,0.087157789,0.106901571,30,56,26
8,1kPa,C1FN25/75_1kPa,0.101440317,0.144205812,35,10,25
23,1kPa,C1TC25/75_1kPa,0.097739086,0.12574693,53,28,25
96,1kPa,OPNFN25/75_1kPa,0.087164853,0.114151222,79,54,25
210,25kPa,OPNDN25/75_25kPa,0.053782372,0.092189871,117,92,25
1,1kPa,C1100_1kPa,0.09150574,0.093223863,68,92,24
2,1kPa,C1C425/75_1kPa,0.069764024,0.097201573,108,84,24
55,1kPa,FN100_1kPa,0.061421041,0.093186692,117,93,24
13,1kPa,C1G375/25_1kPa,0.104079264,0.115331376,28,51,23
112,1kPa,TCHA25/75_1kPa,0.092303951,0.119252144,65,42,23
161,25kPa,C4OPN75/25_25kPa,0.072030271,0.083732604,87,110,23
200,25kPa,LNHA25/75_25kPa,0.080992619,0.100507844,53,76,23
222,25kPa,TCDN75/25_25kPa,0.072423908,0.105432106,84,61,23
24,1kPa,C1TC50/50_1kPa,0.089950029,0.091997652,74,96,22
88,1kPa,LNOPN75/25_1kPa,0.068075835,0.095303743,111,89,22
164,25kPa,C4TC75/25_25kPa,0.082773197,0.101414043,49,71,22
195,25kPa,LNFN50/50_25kPa,0.069982557,0.101522697,91,69,22
204,25kPa,LNOPN50/50_25kPa,0.07834492,0.097746147,60,82,22
25,1kPa,C1TC75/25_1kPa,0.116918357,0.126100195,5,26,21
68,1kPa,HAG350/50_1kPa,0.081776537,0.106988697,91,70,21
59,1kPa,G3FN75/25_1kPa,0.100746,0.13238253,40,20,20
100,1kPa,OPNG350/50_1kPa,0.106149377,0.165203865,23,3,20
165,25kPa,DN100_25kPa,0.073793613,0.091123005,74,94,20
10,1kPa,C1FN75/25_1kPa,0.086847769,0.088764071,80,99,19
173,25kPa,G3100_25kPa,0.063278302,0.092432789,110,91,19
234,25kPa,TCOPN75/25_25kPa,0.064378247,0.094125203,106,87,19
108,1kPa,TCFN75/25_1kPa,0.080497496,0.104995112,93,75,18
115,1kPa,TCOPN25/75_1kPa,0.098067707,0.107065825,51,69,18
35,1kPa,C4G375/25_1kPa,0.08378936,0.085504973,87,104,17
167,25kPa,DNFN50/50_25kPa,0.083231719,0.125958278,47,30,17
225,25kPa,TCFN75/25_25kPa,0.08684612,0.109708973,32,49,17
39,1kPa,C4LN25/75_1kPa,0.093011683,0.10361394,64,80,16
216,25kPa,OPNG325/75_25kPa,0.090309256,0.154090197,24,8,16
3,1kPa,C1C450/50_1kPa,0.108199134,0.121418631,19,34,15
7,1kPa,C1DN75/25_1kPa,0.117838838,0.132592893,4,19,15
58,1kPa,G3FN50/50_1kPa,0.082549642,0.085646486,88,103,15
101,1kPa,OPNG375/25_1kPa,0.101269181,0.132365478,36,21,15
128,25kPa,C1G325/75_25kPa,0.094154851,0.129183254,12,27,15
158,25kPa,C4LN75/25_25kPa,0.066195224,0.06661278,101,116,15
193,25kPa,LNDN75/25_25kPa,0.087067686,0.143909617,31,16,15
71,1kPa,HAOPN50/50_1kPa,0.089902266,0.11202305,75,61,14
87,1kPa,LNOPN50/50_1kPa,0.098264712,0.110311272,50,64,14
95,1kPa,OPNDN75/25_1kPa,0.10881648,0.169147621,16,2,14
148,25kPa,C4FN50/50_25kPa,0.07631157,0.098033144,66,80,14
166,25kPa,DNFN25/75_25kPa,0.066873865,0.077225251,100,114,14
208,25kPa,LNTC75/25_25kPa,0.088269818,0.113897186,28,42,14
48,1kPa,DN100_1kPa,0.066334586,0.088066038,113,100,13
76,1kPa,LNDN75/25_1kPa,0.108328471,0.157932231,18,5,13
86,1kPa,LNOPN25/75_1kPa,0.107778169,0.121455564,20,33,13
156,25kPa,C4LN25/75_25kPa,0.072427028,0.090706696,83,96,13
176,25kPa,G3FN75/25_25kPa,0.086394677,0.135336162,36,23,13
201,25kPa,LNHA50/50_25kPa,0.078026626,0.100519692,62,75,13
34,1kPa,C4G350/50_1kPa,0.074592641,0.074593058,102,114,12
63,1kPa,HADN75/25_1kPa,0.122889148,0.136647223,2,14,12
79,1kPa,LNFN75/25_1kPa,0.097863784,0.119350934,52,40,12
206,25kPa,LNTC25/75_25kPa,0.072493053,0.101440949,82,70,12
213,25kPa,OPNFN25/75_25kPa,0.098024224,0.140147128,6,18,12
16,1kPa,C1HA75/25_1kPa,0.112241433,0.129280247,11,22,11
125,25kPa,C1FN25/75_25kPa,0.104813787,0.14473564,3,14,11
140,25kPa,C1TC25/75_25kPa,0.095602592,0.13915337,10,21,11
21,1kPa,C1OPN50/50_1kPa,0.109736255,0.127910938,14,24,10
66,1kPa,HAFN75/25_1kPa,0.074936293,0.094594938,101,91,10
188,25kPa,HAOPN50/50_25kPa,0.088558356,0.120802492,27,37,10
211,25kPa,OPNDN50/50_25kPa,0.089901478,0.120930484,25,35,10
36,1kPa,C4HA25/75_1kPa,0.100833142,0.123823405,39,30,9
50,1kPa,DNFN50/50_1kPa,0.08084508,0.099442735,92,83,9
57,1kPa,G3FN25/75_1kPa,0.099075815,0.114160859,44,53,9
103,1kPa,TCDN25/75_1kPa,0.093318973,0.106564948,63,72,9
114,1kPa,TCHA75/25_1kPa,0.098648321,0.1202177,46,37,9
209,25kPa,OPN100_25kPa,0.065098941,0.079761759,104,113,9
80,1kPa,LNG325/75_1kPa,0.10030941,0.116060535,41,49,8
124,25kPa,C1DN75/25_25kPa,0.091874889,0.132421427,17,25,8
144,25kPa,C4DN25/75_25kPa,0.063348602,0.063625573,109,117,8
181,25kPa,HAFN25/75_25kPa,0.094899581,0.167602143,11,3,8
231,25kPa,TCHA75/25_25kPa,0.073629513,0.102265925,75,67,8
20,1kPa,C1OPN25/75_1kPa,0.079465914,0.085810921,95,102,7
89,1kPa,LNTC25/75_1kPa,0.064885421,0.083555808,114,107,7
94,1kPa,OPNDN50/50_1kPa,0.072699491,0.090699238,104,97,7
138,25kPa,C1OPN50/50_25kPa,0.106409051,0.152783529,2,9,7
191,25kPa,LNDN25/75_25kPa,0.093208961,0.161496197,13,6,7
38,1kPa,C4HA75/25_1kPa,0.095885307,0.114733,58,52,6
56,1kPa,G3100_1kPa,0.0846076,0.094831562,84,90,6
77,1kPa,LNFN25/75_1kPa,0.100939412,0.117328143,38,44,6
118,25kPa,C1100_25kPa,0.073162985,0.096117198,78,84,6
132,25kPa,C1HA50/50_25kPa,0.061952236,0.08632967,112,106,6
153,25kPa,C4HA25/75_25kPa,0.06987866,0.095480017,92,86,6
168,25kPa,DNFN75/25_25kPa,0.066909276,0.086612389,99,105,6
172,25kPa,FN100_25kPa,0.092309514,0.135832758,16,22,6
61,1kPa,HADN25/75_1kPa,0.085783685,0.095841122,82,87,5
90,1kPa,LNTC50/50_1kPa,0.090744818,0.109397665,70,65,5
127,25kPa,C1FN75/25_25kPa,0.065772689,0.084520198,102,107,5
145,25kPa,C4DN50/50_25kPa,0.075970956,0.101063353,68,73,5
155,25kPa,C4HA75/25_25kPa,0.079118689,0.109603638,56,51,5
160,25kPa,C4OPN50/50_25kPa,0.078314165,0.10310724,61,66,5
199,25kPa,LNG375/25_25kPa,0.097563007,0.149810547,7,12,5
214,25kPa,OPNFN50/50_25kPa,0.091351838,0.132549154,19,24,5
12,1kPa,C1G350/50_1kPa,0.093962425,0.112631845,62,58,4
40,1kPa,C4LN50/50_1kPa,0.108528042,0.137339726,17,13,4
99,1kPa,OPNG325/75_1kPa,0.103944208,0.127165424,29,25,4
175,25kPa,G3FN50/50_25kPa,0.063383195,0.080004089,108,112,4
232,25kPa,TCOPN25/75_25kPa,0.064413799,0.089365816,105,101,4
53,1kPa,DNG350/50_1kPa,0.084378682,0.095524064,85,88,3
72,1kPa,HAOPN75/25_1kPa,0.109410017,0.134032303,15,18,3
102,1kPa,TC100_1kPa,0.068831897,0.076430159,110,113,3
120,25kPa,C1C450/50_25kPa,0.084375393,0.119478145,42,39,3
218,25kPa,OPNG375/25_25kPa,0.083943916,0.115094996,44,41,3
220,25kPa,TCDN25/75_25kPa,0.070818699,0.09191478,90,93,3
224,25kPa,TCFN50/50_25kPa,0.075425037,0.101803648,71,68,3
4,1kPa,C1C475/25_1kPa,0.064838524,0.063611573,115,117,2
51,1kPa,DNFN75/25_1kPa,0.071187902,0.081211893,107,109,2
84,1kPa,LNHA50/50_1kPa,0.0738594,0.086232197,103,101,2
149,25kPa,C4FN75/25_25kPa,0.08632276,0.11725414,38,40,2
179,25kPa,HADN50/50_25kPa,0.090756603,0.139273678,22,20,2
182,25kPa,HAFN50/50_25kPa,0.067372506,0.089811858,97,99,2
217,25kPa,OPNG350/50_25kPa,0.102627439,0.182425551,4,2,2
32,1kPa,C4FN75/25_1kPa,0.103295858,0.123633497,30,31,1
82,1kPa,LNG375/25_1kPa,0.105733953,0.128771895,24,23,1
143,25kPa,C4100_25kPa,0.08742594,0.127700696,29,28,1
152,25kPa,C4G375/25_25kPa,0.057900066,0.074907758,114,115,1
219,25kPa,TC100_25kPa,0.077041489,0.103193194,64,65,1
228,25kPa,TCG375/25_25kPa,0.071057577,0.092681689,89,90,1
44,1kPa,C4OPN75/25_1kPa,0.067746251,0.077748986,112,112,0
65,1kPa,HAFN50/50_1kPa,0.072269082,0.084557049,105,105,0
98,1kPa,OPNFN75/25_1kPa,0.11450802,0.147027261,8,8,0
117,1kPa,TCOPN75/25_1kPa,0.096497295,0.113156359,57,57,0
207,25kPa,LNTC50/50_25kPa,0.08413754,0.113222486,43,43,0
