,Abb_ECM,Metadata_Ratio,Mean_Green,Mean_Orange,Mean_Red,ECM 1,ECM 2
1,C1,100,0.137210373,0.094670531,0.082334362,C1,C1
2,C1C4,25/75,0.13304675,0.100333652,0.066590402,C1,C4
3,C1C4,50/50,0.163683239,0.120448388,0.096287263,C1,C4
4,C1C4,75/25,0.130865899,0.075791161,0.073928282,C1,C4
5,C1DN,25/75,0.187490844,0.109849323,0.105960436,C1,DN
6,C1DN,50/50,0.152314938,0.094465831,0.090680232,C1,DN
7,C1DN,75/25,0.181853988,0.13250716,0.104856864,C1,DN
8,C1FN,25/75,0.17624332,0.144470726,0.103127052,C1,FN
9,C1FN,50/50,0.174043732,0.103377384,0.10043248,C1,FN
10,C1FN,75/25,0.140872017,0.086642135,0.076310229,C1,FN
11,C1G3,25/75,0.167865908,0.126661032,0.092299914,C1,G3
12,C1G3,50/50,0.168305458,0.105959496,0.092169127,C1,G3
13,C1G3,75/25,0.151903489,0.111135901,0.088315113,C1,G3
14,C1HA,25/75,0.168139724,0.095804853,0.095747042,C1,HA
15,C1HA,50/50,0.147880054,0.085182036,0.099451685,C1,HA
16,C1HA,75/25,0.169463291,0.114526339,0.09833571,C1,HA
17,C1LN,25/75,0.179242264,0.105949757,0.099130194,C1,LN
18,C1LN,50/50,0.141900636,0.077463562,0.084250814,C1,LN
19,C1LN,75/25,0.15071407,0.094061625,0.096001005,C1,LN
20,C1OPN,25/75,0.136422823,0.08713341,0.078478603,C1,OPN
21,C1OPN,50/50,0.17619697,0.140347234,0.108072653,C1,OPN
22,C1OPN,75/25,0.162985083,0.133354987,0.080099052,C1,OPN
23,C1TC,25/75,0.182532061,0.13245015,0.096670839,C1,TC
24,C1TC,50/50,0.168906812,0.101136179,0.093191136,C1,TC
25,C1TC,75/25,0.175700204,0.116080746,0.103865017,C1,TC
26,C4,100,0.155807048,0.137618407,0.092191388,C4,C4
27,C4DN,25/75,0.13257484,0.071111174,0.077527677,C4,DN
28,C4DN,50/50,0.158957959,0.117625159,0.083737976,C4,DN
29,C4DN,75/25,0.146430079,0.093382071,0.092559432,C4,DN
30,C4FN,25/75,0.149050138,0.083840904,0.080534607,C4,FN
31,C4FN,50/50,0.145316697,0.100990857,0.088980989,C4,FN
32,C4FN,75/25,0.154474351,0.120443819,0.094809309,C4,FN
33,C4G3,25/75,0.166395105,0.103585963,0.099956674,C4,G3
34,C4G3,50/50,0.134604699,0.08604756,0.077970498,C4,G3
35,C4G3,75/25,0.116969695,0.080206365,0.070844713,C4,G3
36,C4HA,25/75,0.147740977,0.109651711,0.085355901,C4,HA
37,C4HA,50/50,0.156753661,0.121178139,0.083615385,C4,HA
38,C4HA,75/25,0.171247475,0.112168319,0.087501998,C4,HA
39,C4LN,25/75,0.149201405,0.097160318,0.082719356,C4,LN
40,C4LN,50/50,0.163376187,0.122120649,0.097842916,C4,LN
41,C4LN,75/25,0.135015963,0.073319681,0.081499024,C4,LN
42,C4OPN,25/75,0.150624678,0.093145753,0.088282105,C4,OPN
43,C4OPN,50/50,0.161933249,0.110075093,0.09821589,C4,OPN
44,C4OPN,75/25,0.134510583,0.080740795,0.069888261,C4,OPN
45,C4TC,25/75,0.174640712,0.096476481,0.102534646,C4,TC
46,C4TC,50/50,0.17117644,0.09951577,0.096337204,C4,TC
47,C4TC,75/25,0.162608917,0.105932398,0.094096026,C4,TC
48,DN,100,0.136618117,0.089594521,0.070064099,DN,DN
49,DNFN,25/75,0.1407869,0.099027393,0.072958029,DN,FN
50,DNFN,50/50,0.138763475,0.112700507,0.0820384,DN,FN
51,DNFN,75/25,0.134707776,0.083912141,0.069048589,DN,FN
52,DNG3,25/75,0.137874485,0.085350108,0.084864778,DN,G3
53,DNG3,50/50,0.149670266,0.101669459,0.078556868,DN,G3
54,DNG3,75/25,0.148629568,0.145502901,0.075347984,DN,G3
55,FN,100,0.135573594,0.114509725,0.076865277,FN,FN
56,G3,100,0.133128602,0.093632176,0.073942951,G3,G3
57,G3FN,25/75,0.163111454,0.112885911,0.085637592,G3,FN
58,G3FN,50/50,0.135668709,0.082825287,0.072966418,G3,FN
59,G3FN,75/25,0.168582377,0.133859346,0.093570338,G3,FN
60,HA,100,0.14402997,0.125396605,0.076651305,HA,HA
61,HADN,25/75,0.137532445,0.097384194,0.071649242,HA,DN
62,HADN,50/50,0.152639585,0.120219545,0.080016744,HA,DN
63,HADN,75/25,0.190578215,0.131302626,0.100804349,HA,DN
64,HAFN,25/75,0.185250769,0.15339365,0.09670225,HA,FN
65,HAFN,50/50,0.130130376,0.087184454,0.069820794,HA,FN
66,HAFN,75/25,0.150079611,0.097902061,0.079218156,HA,FN
67,HAG3,25/75,0.165854682,0.118439589,0.093438225,HA,G3
68,HAG3,50/50,0.148098887,0.105859958,0.07518667,HA,G3
69,HAG3,75/25,0.156435631,0.143049854,0.076216181,HA,G3
70,HAOPN,25/75,0.149263732,0.116033641,0.074307903,HA,OPN
71,HAOPN,50/50,0.163984702,0.116412771,0.089230311,HA,OPN
72,HAOPN,75/25,0.16929137,0.127855137,0.091315161,HA,OPN
73,LN,100,0.163582752,0.17189548,0.08018982,LN,LN
74,LNDN,25/75,0.195601389,0.168298329,0.097502308,LN,DN
75,LNDN,50/50,0.162947961,0.113811915,0.089098445,LN,DN
76,LNDN,75/25,0.188369527,0.150920924,0.097698078,LN,DN
77,LNFN,25/75,0.16727849,0.114263475,0.087206566,LN,FN
78,LNFN,50/50,0.154052655,0.102936382,0.086228419,LN,FN
79,LNFN,75/25,0.166243535,0.111559116,0.094419641,LN,FN
80,LNG3,25/75,0.1784801,0.1407424,0.091869171,LN,G3
81,LNG3,50/50,0.147796617,0.129493044,0.069698167,LN,G3
82,LNG3,75/25,0.168528521,0.142353288,0.099006337,LN,G3
83,LNHA,25/75,0.166413985,0.106353224,0.091829794,LN,HA
84,LNHA,50/50,0.144033489,0.093375945,0.075943013,LN,HA
85,LNHA,75/25,0.192841528,0.140308945,0.087484471,LN,HA
86,LNOPN,25/75,0.172302014,0.105822696,0.094580754,LN,OPN
87,LNOPN,50/50,0.165350962,0.104028709,0.088304816,LN,OPN
88,LNOPN,75/25,0.170149314,0.108061513,0.096605133,LN,OPN
89,LNTC,25/75,0.140192659,0.092498379,0.068689237,LN,TC
90,LNTC,50/50,0.168514412,0.111310076,0.087441179,LN,TC
91,LNTC,75/25,0.172562485,0.115597372,0.089474509,LN,TC
92,OPN,100,0.154217386,0.096688913,0.090412393,OPN,OPN
93,OPNDN,25/75,0.135882583,0.106185094,0.071947214,OPN,DN
94,OPNDN,50/50,0.144608249,0.105814861,0.081300484,OPN,DN
95,OPNDN,75/25,0.180312007,0.165640227,0.082694623,OPN,DN
96,OPNFN,25/75,0.181305848,0.127149175,0.092594538,OPN,FN
97,OPNFN,50/50,0.168725239,0.125751605,0.087593617,OPN,FN
98,OPNFN,75/25,0.175509008,0.129468341,0.09327867,OPN,FN
99,OPNG3,25/75,0.159214797,0.140627811,0.097126732,OPN,G3
100,OPNG3,50/50,0.177226773,0.173814708,0.104388408,OPN,G3
101,OPNG3,75/25,0.154155883,0.123730237,0.092606548,OPN,G3
102,TC,100,0.134250853,0.089811676,0.072936693,TC,TC
103,TCDN,25/75,0.148421826,0.099239864,0.082068836,TC,DN
104,TCDN,50/50,0.142985423,0.139780158,0.076204595,TC,DN
105,TCDN,75/25,0.166772632,0.105602067,0.085938372,TC,DN
106,TCFN,25/75,0.147949859,0.115630452,0.08200961,TC,FN
107,TCFN,50/50,0.161210372,0.102663514,0.087509785,TC,FN
108,TCFN,75/25,0.162219628,0.107352043,0.083671808,TC,FN
109,TCG3,25/75,0.131005091,0.107053918,0.065184412,TC,G3
110,TCG3,50/50,0.153939489,0.093245369,0.089547265,TC,G3
111,TCG3,75/25,0.164458053,0.104342802,0.089232491,TC,G3
112,TCHA,25/75,0.155329992,0.114475165,0.080059505,TC,HA
113,TCHA,50/50,0.156320174,0.156535168,0.080646063,TC,HA
114,TCHA,75/25,0.165289052,0.111241813,0.086138917,TC,HA
115,TCOPN,25/75,0.154976819,0.09821582,0.081240753,TC,OPN
116,TCOPN,50/50,0.141540775,0.133611023,0.077398838,TC,OPN
117,TCOPN,75/25,0.134845415,0.103640781,0.080437771,TC,OPN
,C1,100,0.137210373,0.094670531,0.082334362,C1,C1
,C1C4,25/75,0.13304675,0.100333652,0.066590402,C4,C1
,C1C4,50/50,0.163683239,0.120448388,0.096287263,C4,C1
,C1C4,75/25,0.130865899,0.075791161,0.073928282,C4,C1
,C1DN,25/75,0.187490844,0.109849323,0.105960436,DN,C1
,C1DN,50/50,0.152314938,0.094465831,0.090680232,DN,C1
,C1DN,75/25,0.181853988,0.13250716,0.104856864,DN,C1
,C1FN,25/75,0.17624332,0.144470726,0.103127052,FN,C1
,C1FN,50/50,0.174043732,0.103377384,0.10043248,FN,C1
,C1FN,75/25,0.140872017,0.086642135,0.076310229,FN,C1
,C1G3,25/75,0.167865908,0.126661032,0.092299914,G3,C1
,C1G3,50/50,0.168305458,0.105959496,0.092169127,G3,C1
,C1G3,75/25,0.151903489,0.111135901,0.088315113,G3,C1
,C1HA,25/75,0.168139724,0.095804853,0.095747042,HA,C1
,C1HA,50/50,0.147880054,0.085182036,0.099451685,HA,C1
,C1HA,75/25,0.169463291,0.114526339,0.09833571,HA,C1
,C1LN,25/75,0.179242264,0.105949757,0.099130194,LN,C1
,C1LN,50/50,0.141900636,0.077463562,0.084250814,LN,C1
,C1LN,75/25,0.15071407,0.094061625,0.096001005,LN,C1
,C1OPN,25/75,0.136422823,0.08713341,0.078478603,OPN,C1
,C1OPN,50/50,0.17619697,0.140347234,0.108072653,OPN,C1
,C1OPN,75/25,0.162985083,0.133354987,0.080099052,OPN,C1
,C1TC,25/75,0.182532061,0.13245015,0.096670839,TC,C1
,C1TC,50/50,0.168906812,0.101136179,0.093191136,TC,C1
,C1TC,75/25,0.175700204,0.116080746,0.103865017,TC,C1
,C4,100,0.155807048,0.137618407,0.092191388,C4,C4
,C4DN,25/75,0.13257484,0.071111174,0.077527677,DN,C4
,C4DN,50/50,0.158957959,0.117625159,0.083737976,DN,C4
,C4DN,75/25,0.146430079,0.093382071,0.092559432,DN,C4
,C4FN,25/75,0.149050138,0.083840904,0.080534607,FN,C4
,C4FN,50/50,0.145316697,0.100990857,0.088980989,FN,C4
,C4FN,75/25,0.154474351,0.120443819,0.094809309,FN,C4
,C4G3,25/75,0.166395105,0.103585963,0.099956674,G3,C4
,C4G3,50/50,0.134604699,0.08604756,0.077970498,G3,C4
,C4G3,75/25,0.116969695,0.080206365,0.070844713,G3,C4
,C4HA,25/75,0.147740977,0.109651711,0.085355901,HA,C4
,C4HA,50/50,0.156753661,0.121178139,0.083615385,HA,C4
,C4HA,75/25,0.171247475,0.112168319,0.087501998,HA,C4
,C4LN,25/75,0.149201405,0.097160318,0.082719356,LN,C4
,C4LN,50/50,0.163376187,0.122120649,0.097842916,LN,C4
,C4LN,75/25,0.135015963,0.073319681,0.081499024,LN,C4
,C4OPN,25/75,0.150624678,0.093145753,0.088282105,OPN,C4
,C4OPN,50/50,0.161933249,0.110075093,0.09821589,OPN,C4
,C4OPN,75/25,0.134510583,0.080740795,0.069888261,OPN,C4
,C4TC,25/75,0.174640712,0.096476481,0.102534646,TC,C4
,C4TC,50/50,0.17117644,0.09951577,0.096337204,TC,C4
,C4TC,75/25,0.162608917,0.105932398,0.094096026,TC,C4
,DN,100,0.136618117,0.089594521,0.070064099,DN,DN
,DNFN,25/75,0.1407869,0.099027393,0.072958029,FN,DN
,DNFN,50/50,0.138763475,0.112700507,0.0820384,FN,DN
,DNFN,75/25,0.134707776,0.083912141,0.069048589,FN,DN
,DNG3,25/75,0.137874485,0.085350108,0.084864778,G3,DN
,DNG3,50/50,0.149670266,0.101669459,0.078556868,G3,DN
,DNG3,75/25,0.148629568,0.145502901,0.075347984,G3,DN
,FN,100,0.135573594,0.114509725,0.076865277,FN,FN
,G3,100,0.133128602,0.093632176,0.073942951,G3,G3
,G3FN,25/75,0.163111454,0.112885911,0.085637592,FN,G3
,G3FN,50/50,0.135668709,0.082825287,0.072966418,FN,G3
,G3FN,75/25,0.168582377,0.133859346,0.093570338,FN,G3
,HA,100,0.14402997,0.125396605,0.076651305,HA,HA
,HADN,25/75,0.137532445,0.097384194,0.071649242,DN,HA
,HADN,50/50,0.152639585,0.120219545,0.080016744,DN,HA
,HADN,75/25,0.190578215,0.131302626,0.100804349,DN,HA
,HAFN,25/75,0.185250769,0.15339365,0.09670225,FN,HA
,HAFN,50/50,0.130130376,0.087184454,0.069820794,FN,HA
,HAFN,75/25,0.150079611,0.097902061,0.079218156,FN,HA
,HAG3,25/75,0.165854682,0.118439589,0.093438225,G3,HA
,HAG3,50/50,0.148098887,0.105859958,0.07518667,G3,HA
,HAG3,75/25,0.156435631,0.143049854,0.076216181,G3,HA
,HAOPN,25/75,0.149263732,0.116033641,0.074307903,OPN,HA
,HAOPN,50/50,0.163984702,0.116412771,0.089230311,OPN,HA
,HAOPN,75/25,0.16929137,0.127855137,0.091315161,OPN,HA
,LN,100,0.163582752,0.17189548,0.08018982,LN,LN
,LNDN,25/75,0.195601389,0.168298329,0.097502308,DN,LN
,LNDN,50/50,0.162947961,0.113811915,0.089098445,DN,LN
,LNDN,75/25,0.188369527,0.150920924,0.097698078,DN,LN
,LNFN,25/75,0.16727849,0.114263475,0.087206566,FN,LN
,LNFN,50/50,0.154052655,0.102936382,0.086228419,FN,LN
,LNFN,75/25,0.166243535,0.111559116,0.094419641,FN,LN
,LNG3,25/75,0.1784801,0.1407424,0.091869171,G3,LN
,LNG3,50/50,0.147796617,0.129493044,0.069698167,G3,LN
,LNG3,75/25,0.168528521,0.142353288,0.099006337,G3,LN
,LNHA,25/75,0.166413985,0.106353224,0.091829794,HA,LN
,LNHA,50/50,0.144033489,0.093375945,0.075943013,HA,LN
,LNHA,75/25,0.192841528,0.140308945,0.087484471,HA,LN
,LNOPN,25/75,0.172302014,0.105822696,0.094580754,OPN,LN
,LNOPN,50/50,0.165350962,0.104028709,0.088304816,OPN,LN
,LNOPN,75/25,0.170149314,0.108061513,0.096605133,OPN,LN
,LNTC,25/75,0.140192659,0.092498379,0.068689237,TC,LN
,LNTC,50/50,0.168514412,0.111310076,0.087441179,TC,LN
,LNTC,75/25,0.172562485,0.115597372,0.089474509,TC,LN
,OPN,100,0.154217386,0.096688913,0.090412393,OPN,OPN
,OPNDN,25/75,0.135882583,0.106185094,0.071947214,DN,OPN
,OPNDN,50/50,0.144608249,0.105814861,0.081300484,DN,OPN
,OPNDN,75/25,0.180312007,0.165640227,0.082694623,DN,OPN
,OPNFN,25/75,0.181305848,0.127149175,0.092594538,FN,OPN
,OPNFN,50/50,0.168725239,0.125751605,0.087593617,FN,OPN
,OPNFN,75/25,0.175509008,0.129468341,0.09327867,FN,OPN
,OPNG3,25/75,0.159214797,0.140627811,0.097126732,G3,OPN
,OPNG3,50/50,0.177226773,0.173814708,0.104388408,G3,OPN
,OPNG3,75/25,0.154155883,0.123730237,0.092606548,G3,OPN
,TC,100,0.134250853,0.089811676,0.072936693,TC,TC
,TCDN,25/75,0.148421826,0.099239864,0.082068836,DN,TC
,TCDN,50/50,0.142985423,0.139780158,0.076204595,DN,TC
,TCDN,75/25,0.166772632,0.105602067,0.085938372,DN,TC
,TCFN,25/75,0.147949859,0.115630452,0.08200961,FN,TC
,TCFN,50/50,0.161210372,0.102663514,0.087509785,FN,TC
,TCFN,75/25,0.162219628,0.107352043,0.083671808,FN,TC
,TCG3,25/75,0.131005091,0.107053918,0.065184412,G3,TC
,TCG3,50/50,0.153939489,0.093245369,0.089547265,G3,TC
,TCG3,75/25,0.164458053,0.104342802,0.089232491,G3,TC
,TCHA,25/75,0.155329992,0.114475165,0.080059505,HA,TC
,TCHA,50/50,0.156320174,0.156535168,0.080646063,HA,TC
,TCHA,75/25,0.165289052,0.111241813,0.086138917,HA,TC
,TCOPN,25/75,0.154976819,0.09821582,0.081240753,OPN,TC
,TCOPN,50/50,0.141540775,0.133611023,0.077398838,OPN,TC
,TCOPN,75/25,0.134845415,0.103640781,0.080437771,OPN,TC
